chr,start,end,dot,num1,dot,num2,num3,mark
chr22,16845032,16871844,.,646,.,6.670449,13.6,-1
chr22,17040827,17041834,.,427,.,3.653884,2.0,-1
chr22,17392414,17417136,.,281,.,1.653115,10.8,-1
chr22,17444839,17455484,.,282,.,1.666534,2.5,-1
chr22,17471184,17476574,.,305,.,1.974797,2.3,-1
chr22,17516251,17646023,.,306,.,2.000931,12.7,-1
chr22,17524185,17524378,.,953,.,10.894037,4.7,-1
chr22,17537110,17537268,.,947,.,10.812160,2.7,-1
chr22,17987478,17997537,.,279,.,1.619918,1.4,-1
chr22,18030631,18036933,.,297,.,1.876680,2.2,-1
chr22,18081196,18081400,.,817,.,9.018287,2.4,-1
chr22,18084563,18097665,.,300,.,1.915676,10.3,-1
chr22,18099993,18109165,.,297,.,1.876867,5.2,-1
chr22,18145699,18168868,.,285,.,1.707204,12.0,-1
chr22,18155131,18156165,.,521,.,4.956445,8.6,-1
chr22,18163295,18163866,.,529,.,5.063056,2.7,-1
chr22,18174425,18181934,.,295,.,1.837526,2.9,-1
chr22,18204181,18492331,.,380,.,3.012632,12.5,-1
chr22,18454230,18454387,.,1000,.,12.555031,4.8,-1
chr22,18454675,18454793,.,1000,.,12.250022,1.9,-1
chr22,18455575,18455828,.,1000,.,12.465707,11.2,-1
chr22,18456667,18456767,.,1000,.,14.455026,2.5,-1
chr22,18457026,18457161,.,1000,.,12.654231,3.4,-1
chr22,18464300,18464429,.,1000,.,12.224123,2.6,-1
chr22,18464933,18465037,.,1000,.,13.899063,2.4,-1
chr22,18563150,18575224,.,293,.,1.817571,6.7,-1
chr22,18581296,18590936,.,299,.,1.894803,6.0,-1
chr22,18592600,18593666,.,430,.,3.698199,2.7,-1
chr22,18601699,18602739,.,418,.,3.537943,1.8,-1
chr22,18610608,18616663,.,301,.,1.931533,2.6,-1
chr22,18636772,18642177,.,299,.,1.896379,1.5,-1
chr22,18876761,18876993,.,903,.,10.195551,5.6,-1
chr22,18878382,18878747,.,1000,.,26.281865,15.3,-1
chr22,18879924,18880126,.,1000,.,14.962448,12.0,-1
chr22,18880559,18880796,.,1000,.,17.743031,100.0,-1
chr22,18881938,18882172,.,1000,.,11.793145,8.6,-1
chr22,18883982,18884191,.,893,.,10.060044,4.2,-1
chr22,18975398,18989568,.,299,.,1.901123,11.0,-1
chr22,19003960,19004186,.,753,.,8.140401,1.9,-1
chr22,19006623,19007347,.,478,.,4.356110,2.3,-1
chr22,19014486,19145580,.,350,.,2.595227,13.2,-1
chr22,19023248,19023369,.,1000,.,14.118357,4.0,-1
chr22,19038045,19038254,.,801,.,8.802539,2.3,-1
chr22,19056174,19056377,.,820,.,9.062712,2.5,-1
chr22,19072817,19072957,.,1000,.,13.140933,4.3,-1
chr22,19086404,19086600,.,1000,.,12.738659,7.8,-1
chr22,19087039,19087158,.,1000,.,13.251361,2.9,-1
chr22,19091618,19091844,.,1000,.,11.629144,7.8,-1
chr22,19097370,19097479,.,1000,.,13.261492,2.2,-1
chr22,19097497,19097690,.,953,.,10.894037,4.7,-1
chr22,19098741,19098982,.,1000,.,11.995872,9.4,-1
chr22,19099183,19099340,.,1000,.,12.555031,4.8,-1
chr22,19156970,19172882,.,313,.,2.089402,13.2,-1
chr22,19182146,19193501,.,298,.,1.886369,7.6,-1
chr22,19199502,19230037,.,311,.,2.065711,13.3,-1
chr22,19264546,19265653,.,411,.,3.442521,1.8,-1
chr22,19272543,19278176,.,298,.,1.889607,1.6,-1
chr22,19329038,19521647,.,325,.,2.248727,12.4,-1
chr22,19399120,19399557,.,795,.,8.720527,10.8,-1
chr22,19401485,19401722,.,847,.,9.425985,4.5,-1
chr22,19432333,19432438,.,1000,.,13.766691,2.3,-1
chr22,19436728,19436855,.,989,.,11.381910,1.6,-1
chr22,19454973,19455152,.,909,.,10.277824,3.1,-1
chr22,19666943,19671996,.,303,.,1.950465,1.7,-1
chr22,19699616,19699829,.,789,.,8.637233,2.2,-1
chr22,19706082,19716116,.,304,.,1.964461,7.9,-1
chr22,19718941,19725985,.,291,.,1.790928,1.8,-1
chr22,19736216,19763411,.,317,.,2.150290,13.3,-1
chr22,19768600,19790527,.,298,.,1.887807,13.3,-1
chr22,19797746,19818632,.,310,.,2.044816,13.5,-1
chr22,19826495,19845220,.,340,.,2.456249,13.6,-1
chr22,19835988,19836190,.,823,.,9.107577,2.5,-1
chr22,19836088,19836197,.,1000,.,13.261492,2.2,-1
chr22,19896692,19907514,.,284,.,1.687848,3.0,-1
